,h_index,h5_index,i10_index,i10_5_index,institution,name,url,n citations,n5 citations,field,gender,gender_prob,wiki_bool,wiki_length
109,131,118,597,436,National Centre for Physics,Hafeez R. Hoorani,https://scholar.google.com//citations?user=MpFgxTYAAAAJ&hl=en,100786,77481,1,female,1.0,False,0.0
110,127,113,452,398,Stony Brook University,"Bee, Christopher",https://scholar.google.com//citations?user=tdLwWEEAAAAJ&hl=en,100090,74200,1,male,0.97,False,0.0
111,129,119,495,480,Ankara University,Orhan CAKIR,https://scholar.google.com//citations?user=jxYK_38AAAAJ&hl=en,100973,82620,1,male,1.0,False,0.0
112,138,119,457,433,Harvard University,David Lopez Mateos,https://scholar.google.com//citations?user=P6krKIkAAAAJ&hl=en,98858,79718,1,male,1.0,False,0.0
113,132,121,473,424,University of Canterbury,Philip Butler,https://scholar.google.com//citations?user=c_9GR9MAAAAJ&hl=en,99031,82539,1,male,1.0,True,3643.0
114,144,80,488,343,Johns Hopkins University,Timothy Heckman,https://scholar.google.com//citations?user=_Anf3acAAAAJ&hl=en,98211,37145,1,male,1.0,False,0.0
115,96,69,247,194,University of Bern,Thomas F. Stocker,https://scholar.google.com//citations?user=WtWYW0MAAAAJ&hl=en,98067,50804,1,male,1.0,False,0.0
116,114,106,396,371,Novosibirsk State University,Sergey Peleganchuk,https://scholar.google.com//citations?user=1mbK_dgAAAAJ&hl=en,98180,79108,1,male,1.0,False,0.0
117,137,126,551,501,CERN,Pedro Ferreira da Silva,https://scholar.google.com//citations?user=X_M530AAAAAJ&hl=en,96947,80193,1,female,0.99,False,0.0
118,148,134,648,586,University of Colorado Boulder,Kevin Stenson,https://scholar.google.com//citations?user=zemVdRoAAAAJ&hl=en,96702,79615,1,female,0.97,False,0.0
119,148,90,776,501,University of Oregon,Raymond Frey,https://scholar.google.com//citations?user=GvC1JHEAAAAJ&hl=en,96046,45517,1,male,0.99,True,6564.0
120,132,123,446,421,,Victor T. Kim,https://scholar.google.com//citations?user=7Jnz8lsAAAAJ&hl=en,95880,80627,1,male,1.0,False,0.0
121,133,118,465,402,,laura perini,https://scholar.google.com//citations?user=QjBSgS4AAAAJ&hl=en,95440,72548,1,male,1.0,False,0.0
122,130,119,433,416,CERN,Efe Yazgan,https://scholar.google.com//citations?user=PV7HGdgAAAAJ&hl=en,95463,81424,1,male,1.0,False,0.0
123,117,107,382,367,Stanford University,Josh Cogan,https://scholar.google.com//citations?user=_EPCKe0AAAAJ&hl=en,95173,73502,1,male,0.99,False,0.0
124,126,111,429,383,University of Coimbra,Joao Carvalho,https://scholar.google.com//citations?user=TaAzcV4AAAAJ&hl=en,95198,74945,1,male,1.0,True,235.0
125,155,116,652,575,Harvard University,David A. Weitz,https://scholar.google.com//citations?user=R1cfTCoAAAAJ&hl=en,91011,51079,1,male,1.0,True,3687.0
126,135,104,441,338,Trento University,Ignazio Lazzizzera,https://scholar.google.com//citations?user=AbB_ZlcAAAAJ&hl=en,94045,63779,1,male,1.0,False,0.0
127,128,117,434,402,,Panja Luukka,https://scholar.google.com//citations?user=wKuW2e4AAAAJ&hl=en,92639,78450,1,male,1.0,False,0.0
128,130,118,426,413,CERN,Gianluca Cerminara,https://scholar.google.com//citations?user=5Wc7UWoAAAAJ&hl=en,94712,80140,1,male,1.0,False,0.0
129,128,68,347,202,,Frank Wilczek,https://scholar.google.com//citations?user=mzSv5kgAAAAJ&hl=en,90773,23131,1,male,0.99,True,19955.0
130,117,106,373,354,LMU Munich,Federica Legger,https://scholar.google.com//citations?user=rsSc8nMAAAAJ&hl=en,90943,73793,1,male,0.99,False,0.0
131,125,116,417,410,,Mingshui Chen,https://scholar.google.com//citations?user=ea1LmPoAAAAJ&hl=en,90607,79493,1,male,1.0,False,0.0
132,128,116,355,325,,Eija Tuominen,https://scholar.google.com//citations?user=Z_gMRVoAAAAJ&hl=en,90891,76592,1,male,1.0,False,0.0
133,138,125,496,491,University of Sao Paulo,Marisilvia Donadelli,https://scholar.google.com//citations?user=jwQdiuYAAAAJ&hl=en,90355,76987,1,male,0.85,False,0.0
134,145,133,506,501,,ferhat ozok,https://scholar.google.com//citations?user=eZg-rnQAAAAJ&hl=en,89120,78070,1,male,1.0,False,0.0
135,129,116,459,391,TOBB ETU,Saleh Sultansoy,https://scholar.google.com//citations?user=Ivpw34UAAAAJ&hl=en,90293,73200,1,male,1.0,False,0.0
136,129,112,353,312,,Vincenzo Chiochia,https://scholar.google.com//citations?user=jU9uxPIAAAAJ&hl=en,89332,71933,1,male,1.0,False,0.0
137,104,84,438,334,Radboud University Nijmegen,Mikhail Katsnelson,https://scholar.google.com//citations?user=MGcJlikAAAAJ&hl=en,88828,55207,1,male,0.99,True,6139.0
138,144,133,459,455,,Christian Ohm,https://scholar.google.com//citations?user=LV5VK3gAAAAJ&hl=en,87165,75864,1,female,1.0,False,0.0
139,123,117,392,391,,Nathaniel Odell,https://scholar.google.com//citations?user=mq7PhfsAAAAJ&hl=en,88621,78728,1,male,1.0,True,238.0
140,97,83,200,184,Harvard University,Philip Kim,https://scholar.google.com//citations?user=VMCinEEAAAAJ&hl=en,86459,54200,1,male,1.0,True,10027.0
141,132,119,436,415,Izmir University of Economics,Abbas Kenan Ciftci,https://scholar.google.com//citations?user=PznbzJQAAAAJ&hl=en,87984,74388,1,male,0.97,False,0.0
142,132,119,436,415,Izmir University of Economics,Abbas Kenan Ciftci,https://scholar.google.com//citations?user=PznbzJQAAAAJ&hl=en,87984,74388,1,male,0.97,False,0.0
143,97,73,281,223,UBC,Mark Halpern,https://scholar.google.com//citations?user=4ZLZX6MAAAAJ&hl=en,86531,36223,1,male,0.99,False,0.0
144,126,117,407,402,Kansas State University,Lovedeep Saini,https://scholar.google.com//citations?user=sQ2ssVcAAAAJ&hl=en,88468,78004,1,male,1.0,False,0.0
145,118,78,588,467,Aarhus University,Flemming Besenbacher,https://scholar.google.com//citations?user=9rO5GNsAAAAJ&hl=en,84709,48911,1,female,1.0,False,0.0
146,126,118,385,384,"University of Ruhuna, Matara",N. Wickramage,https://scholar.google.com//citations?user=2E6L-VkAAAAJ&hl=en,84540,74497,1,male,0.96,False,0.0
147,131,118,317,306,CERN,André David,https://scholar.google.com//citations?user=Pu54upsAAAAJ&hl=en,84401,73126,1,male,1.0,False,0.0
148,64,36,108,64,UC Davis,John Terning,https://scholar.google.com//citations?user=dcn1sGsAAAAJ&hl=en,81348,24502,1,male,1.0,False,0.0
149,125,76,482,320,University of Oxford,Donal D C Bradley,https://scholar.google.com//citations?user=QVDF2gUAAAAJ&hl=en,81893,25706,1,male,1.0,False,0.0
150,98,75,278,235,UCL,Jonathan Butterworth,https://scholar.google.com//citations?user=XV9gsdYAAAAJ&hl=en,81225,52703,1,male,1.0,True,494.0
151,123,113,314,309,University of Tehran,Ali Fahim,https://scholar.google.com//citations?user=_C4Iif8AAAAJ&hl=en,82997,72497,1,male,1.0,False,0.0
152,117,107,390,386,Istanbul Technical University,Altan Cakir,https://scholar.google.com//citations?user=edtrfwgAAAAJ&hl=en,84078,71995,1,male,1.0,False,0.0
153,131,120,450,441,Novosibirsk State University,Victor Bobrovnikov,https://scholar.google.com//citations?user=TgJkbgIAAAAJ&hl=en,81722,72485,1,male,0.99,False,0.0
154,97,94,367,321,,Alessandro Gabrielli,https://scholar.google.com//citations?user=CvdNmi0AAAAJ&hl=en,81154,69983,1,male,1.0,False,0.0
155,117,57,545,281,,Giorgio Parisi,https://scholar.google.com//citations?user=TeuEgRkAAAAJ&hl=en,78898,19941,1,male,1.0,True,12184.0
156,62,56,118,110,University of Oxford,Joanna Dunkley,https://scholar.google.com//citations?user=dMvCg-UAAAAJ&hl=en,76349,44419,1,male,1.0,True,207.0
157,127,86,566,350,Bar-Ilan University,Shlomo Havlin,https://scholar.google.com//citations?user=mB6GO8UAAAAJ&hl=en,79949,36204,1,male,0.81,True,7916.0
158,138,128,379,357,,Irinel Caprini,https://scholar.google.com//citations?user=XDfm_tEAAAAJ&hl=en,75727,63807,1,male,0.59,False,0.0
159,64,38,105,78,University of British Columbia,Gary Hinshaw,https://scholar.google.com//citations?user=OFIi-5QAAAAJ&hl=en,75609,24020,1,male,0.96,True,2860.0
160,122,103,302,255,,kamal Benslama,https://scholar.google.com//citations?user=c1ImqpoAAAAJ&hl=en,78279,57886,1,male,1.0,False,0.0
161,116,108,343,338,,Loic Quertenmont,https://scholar.google.com//citations?user=mEi7nhcAAAAJ&hl=en,81069,71627,1,male,1.0,False,0.0
162,114,110,285,284,,Alexander Gude,https://scholar.google.com//citations?user=MGzxB68AAAAJ&hl=en,74419,68023,1,male,1.0,False,0.0
163,10,9,11,9,,Yurii Kuyanov,https://scholar.google.com//citations?user=GFpW3lEAAAAJ&hl=en,72742,21936,1,male,0.99,False,0.0
164,111,82,447,358,,Z. F. Ren,https://scholar.google.com//citations?user=Sn_LdOYAAAAJ&hl=en,72478,39514,1,male,0.99,False,0.0
165,84,44,175,98,"University of California, Santa Cruz",Howard Haber,https://scholar.google.com//citations?user=DhINqPAAAAAJ&hl=en,73400,19866,1,male,1.0,True,224.0
166,104,90,278,247,McGill University,Matt Dobbs,https://scholar.google.com//citations?user=C6Hw6DMAAAAJ&hl=en,73470,48100,1,male,1.0,False,0.0
167,129,78,622,379,University of Tokyo,Hiroaki Aihara,https://scholar.google.com//citations?user=jBBGiQsAAAAJ&hl=en,71540,29787,1,male,1.0,False,0.0
168,103,74,242,158,University of California Los Angeles,Katsushi Arisaka,https://scholar.google.com//citations?user=NWKOsDQAAAAJ&hl=en,72988,45157,1,male,1.0,False,0.0
169,114,86,805,624,"Shanghai Institute of Applied Physics, Chinese Academy of Sciences",Yu-Gang Ma,https://scholar.google.com//citations?user=lYsEjfUAAAAJ&hl=en,70960,41888,1,male,1.0,False,0.0
170,106,86,256,201,Stanford University,Shou-Cheng Zhang,https://scholar.google.com//citations?user=BFtWlhEAAAAJ&hl=en,70632,46313,1,male,1.0,True,214.0
171,106,68,256,206,Rutgers University,David Vanderbilt,https://scholar.google.com//citations?user=uY1warIAAAAJ&hl=en,68927,28006,1,male,1.0,True,2131.0
